资产总计 存货 股票价格 营业收入 总负债 营业税金及附加 盈余公积金 应付利息 流动资产 负债总计 利润总额 总股本 净利润 财务费用 无形资产 总资产 股东权益 资本公积 固定资产 销售费用 应收账款 杜邦分析 流动负债 未分配利润 递延所得税资产 实收资本（或股本） 评估分数 评估类别
18444685922.18 5019545903.52 10.8551035 3014428097.13 15613938149.21 8376152.1 78869676.08 78730414.93 13425687030.95 15613938149.21 62686414.67 73576.2 48516340.22 86587916.1 359555108.71 18444685922.18 2830747772.97 1402799447.38 1950740490.54 23880000.0 4340689069.57 1.3 11286905991.83 295942858.9 159525137.68 735762000.0 2.22 危险
8581712147.35 383370563.28 9.25 2822249882.26 1862639114.85 12559780.34 273630436.83 3074988.59 3183175207.07 1862639114.85 689458736.18 148451.11 583133257.27 5120053.06 291247806.47 8581712147.35 6719073032.5 2927932034.45 3943254497.8 40060000.0 535361792.7 8.7 1408908406.04 2009390504.87 21449411.23 1484511066.0 21.34 健康
8601204504.71 341283558.13 10.8551035 1370469301.74 1874304221.4 6855526.29 273630436.83 14591832.18 3242779740.56 1874304221.4 348326858.1 148451.11 294631905.53 -16772364.55 279844248.2 8601204504.71 6726900283.31 2927932034.45 3856995421.94 19910000.0 540325328.76 4.45 1540476986.41 2019166365.02 13066302.37 1484511066.0 14.9 健康
8642081293.21 313507742.63 10.8551035 5576006079.31 2160044891.12 26643607.38 273630436.83 10092048.8 3221848569.2 2160044891.12 1146551426.08 149399.36 971553651.44 1331227.5 284941718.52 8642081293.21 6482036402.09 3003369976.04 3938205321.23 80010000.0 470887280.24 19.28 1829665524.58 1724873550.42 11216834.31 1493993612.0 30.18 健康
8168976585.06 332924264.64 10.8551035 4008775525.61 1934391948.64 19270620.01 164439441.92 6564373.38 2967262968.07 1934391948.64 820020511.53 149399.36 684607973.13 9854717.01 287604779.38 8168976585.06 6234584636.42 3002368488.28 3835838089.24 54110000.0 464858466.07 14.79 1603371157.35 1547454467.39 7022471.39 1493993612.0 25.11 健康
7371839951.17 333926832.93 10.8551035 2663533770.82 3145565315.79 10942745.28 164439441.92 4931240.17 2077758985.24 3145565315.79 553775406.23 130628.53 460847396.08 16827402.31 292668475.95 7371839951.17 4226274635.38 1405639995.54 3679182198.07 31750000.0 483681526.88 11.02 2814026255.03 1324373618.14 6013120.16 1306285261.0 14.2 健康
7115721216.24 514857669.18 10.8551035 1320019544.92 2898643108.34 8072075.52 164439441.92 16217940.43 2284886646.14 2898643108.34 287593450.95 130628.53 238644624.11 6581113.15 150669390.33 7115721216.24 4217078107.9 1410362866.83 3662900690.39 13610000.0 526037264.64 5.83 2564356020.86 1327268136.32 5796498.09 1306285261.0 8.5 可疑
3968317951.22 532372336.89 11.17 1769996107.52 1639792725.34 7968361.44 138071891.02 1295007.56 2646154797.49 1639792725.34 101231803.56 40627.5 88004768.86 32847195.12 133320101.97 3968317951.22 2328525225.88 459834159.95 768995618.45 63620000.0 1413793892.75 3.83 1558351993.7 1289063813.13 9123916.78 406274967.0 9.01 可疑
3812175134.49 544191196.2 10.8551035 829862943.66 1529377610.19 -1618997.0 135424989.0 1781774.58 2521185317.55 1529377610.19 54004077.82 27085.0 46619711.24 15575259.26 132864193.25 3812175134.49 2282797524.3 595259148.95 575452793.59 31980000.0 1229357229.54 2.05 1437088570.16 1277290439.61 9809921.52 270849978.0 6.52 可疑
3837211339.69 582133310.44 10.8551035 3397487073.94 1580844054.04 13981648.06 135424989.0 1298556.25 2506534946.59 1580844054.04 202127910.53 27085.0 174232120.6 46740238.8 135160551.54 3837211339.69 2256367285.65 595259148.95 637963339.3 114999999.99999999 1336908557.1 7.92 1470394322.02 1230670728.37 12854537.31 270849978.0 13.59 健康
3658778308.77 554772889.8 10.8551035 2402135245.19 1426083744.19 9612363.8 135000000.0 712952.92 2336134158.35 1426083744.19 191337055.15 27000.0 159508481.82 31083787.35 136172442.67 3658778308.77 2232694564.58 578700825.06 650469102.56 84870000.0 1146442213.96 7.3 1391675896.63 1216372078.59 9304022.3 270000000.0 13.02 健康
3532691210.55 450647069.3 10.8551035 1609831677.69 1297062229.65 5542688.25 135000000.0 1386967.08 2238132733.81 1297062229.65 146575682.93 27000.0 124902495.64 22842298.41 136723479.45 3532691210.55 2235628980.9 578700825.06 659071445.51 56550000.0 1050683370.86 5.73 1261910624.0 1208766092.41 8373731.29 270000000.0 11.47 健康
3608357057.43 512346778.58 10.8551035 903346466.78 1421913329.16 2164425.15 135000000.0 3396650.61 2323461738.65 1421913329.16 76404711.34 27000.0 66095130.11 9908410.66 137659716.85 3608357057.43 2186443728.27 578700825.06 672634585.17 27520000.0 1256898907.69 3.07 1169852296.5 1149958726.88 9178675.02 270000000.0 8.36 可疑
2016182110.81 409127181.05 6.26 517508892.39 924076390.38 7572676.05 238372318.92 776111.11 997984279.01 924076390.38 -19118137.84 44083.26 -19166792.11 14530149.27 131963993.49 2016182110.81 1092105720.43 1197672577.95 828203193.81 4700000.0 205705680.84 -1.77 856102323.82 -803223669.65 330143.1 440832644.0 -0.17 危险
2009538181.49 403464621.89 10.8551035 239575271.77 929080470.34 3880578.27 238372318.92 853722.23 966879113.52 929080470.34 -29058528.82 44083.26 -29058528.82 15962839.93 135321232.39 2009538181.49 1080457711.15 1197672577.95 851633971.89 3280000.0 189686141.79 -2.66 612180641.72 -812748060.89 378797.37 440832644.0 -0.11 危险
2043014710.14 393717187.3 10.8551035 945074614.04 933469011.87 17858696.45 238372318.92 853722.23 973925353.24 933469011.87 -380059624.69 44083.26 -379972580.42 44904786.34 138678471.29 2043014710.14 1109545698.27 1197672577.95 876232747.48 11970000.0 169930155.27 -29.34 616312252.2 -783769639.0 378797.37 440832644.0 -28.9 危险
2272238189.89 331582369.58 10.8551035 708312401.18 923379941.87 14334266.28 238372318.92 691527.78 963204733.33 923379941.87 -140742369.03 44083.26 -140801235.28 36418067.49 145442132.84 2272238189.89 1348858248.02 1197672577.95 1104187446.64 8770000.0 214014634.35 -9.95 610719025.43 -544548097.15 333348.82 440832644.0 -7.03 危险
2245949751.95 351792888.73 10.8551035 463822881.69 851212618.57 9825483.55 238372318.92 787404.17 894014806.27 851212618.57 -95102303.61 44083.26 -95161169.86 22473781.65 149272976.97 2245949751.95 1394737133.38 1197672577.95 1142733958.07 4900000.0 224444819.77 -6.63 760566677.91 -499099775.56 333348.82 440832644.0 -4.37 危险
2555322405.86 374264277.38 10.8551035 238734913.45 1118500003.62 5545744.32 238372318.92 1106875.0 1159296753.58 1118500003.62 -52512877.1 44083.26 -52512877.1 10918090.89 153103821.1 2555322405.86 1436822402.24 1197672577.95 1183626805.13 2170000.0 197899258.69 -3.59 1048117109.49 -456293939.06 291753.1 440832644.0 -1.77 危险
16685212510.75 1448897185.86 15.53 5987976711.78 3487012674.03 90434795.45 550841766.85 2775685.94 5525597712.76 3487012674.03 1487620105.06 168950.78 1303700227.56 22335659.67 1657111228.57 16685212510.75 13198199836.72 3141127096.42 7306408840.15 173000000.0 396777353.83 10.09 2772984598.36 7730998710.24 37148137.22 1689507842.0 22.39 健康
16359581829.53 1530717011.61 10.8551035 2497578872.94 3371366412.85 39105709.69 550841766.85 24100471.0 5751981553.71 3371366412.85 565013535.04 168950.78 492543410.21 18355010.47 1616574752.91 16359581829.53 12988215416.68 3042055222.42 7253431548.4 80340000.0 302656857.46 3.87 2649797240.36 7522612136.23 35002763.73 1788579717.0 14.62 健康
16110681436.21 1259559436.78 10.8551035 11164343454.6 3615009429.74 155256147.27 550841766.85 42915596.41 5530767080.42 3615009429.74 2688983346.79 178857.97 2354897830.36 94268790.95 1621490707.1 16110681436.21 12495672006.47 3042055222.42 7330164818.83 344000000.0 97114882.48 20.66 2896490804.59 7032130571.39 35149399.3 1788579717.0 34.5 健康
16407117261.45 1382402769.55 10.8551035 8107105592.81 4681012414.21 112743844.99 528223089.7 17541759.85 6207550964.48 4681012414.21 1795442084.75 178857.97 1575776032.14 56871907.03 1582250869.51 16407117261.45 11726104847.24 3042243916.81 7381178483.62 231999999.99999997 287963402.27 14.24 3857904194.89 6275398815.69 30517495.01 1788579717.0 23.81 健康
14965014971.68 1495251070.11 10.8551035 4561592399.53 4120898807.81 64153970.7 528223089.7 9992886.99 5194293537.25 4120898807.81 770967349.5 178857.97 687218378.86 39130558.73 1480341033.78 14965014971.68 10844116163.87 3042243916.81 6785561583.8 148000000.0 374621936.45 6.43 3300079416.42 5393088162.58 29294274.88 1788579717.0 14.54 健康
14622250567.49 1488493047.29 10.8551035 1779461172.49 4007481549.98 27056855.45 528223089.7 4012423.73 4982857924.11 4007481549.98 174636136.21 178857.97 151562320.99 19019863.28 1464261437.02 14622250567.49 10614769017.51 3042243916.76 6766361885.56 80150000.0 277347128.15 1.43 2750451667.77 5164544384.84 24207708.64 1788579717.0 8.95 可疑
8416689056.45 1221649962.64 19.55 3355275567.43 2845525523.98 35073834.03 409952927.33 3156163.25 4902335845.57 2845525523.98 597517368.31 74476.16 500608887.62 15361633.56 314479957.37 8416689056.45 5571163532.47 450384399.58 2140182842.9 158000000.0 2009603874.72 8.68 2694380835.49 2485506996.9 73024898.35 744761552.0 15.57 健康
7827024865.34 1194587892.07 10.8551035 1595901229.86 2354028986.53 16070469.56 409952927.33 1858096.37 4411260432.18 2354028986.53 271244474.7 74476.16 226580349.68 38850884.82 304105244.73 7827024865.34 5472995878.81 663173414.58 2101766755.47 76640000.0 1853004419.3 4.15 2212932715.83 2497834640.79 71662303.0 531972537.0 11.0 健康
7644118819.51 1304254238.52 10.8551035 6020204799.9 2369236344.02 62449026.67 409952927.33 590361.53 4309558729.34 2369236344.02 1150582126.4 53197.25 957674073.47 60759891.1 313472398.5 7644118819.51 5274882475.49 663173414.58 2057488429.04 309000000.0 1472102486.73 17.91 2226649271.22 2330978188.41 67620757.95 531972537.0 26.91 健康
7690392263.81 1083272957.37 10.8551035 4510607098.05 2484669555.88 43843019.47 355184583.83 653204.15 4436571380.15 2484669555.88 963744964.68 53197.25 798821972.4 46439029.64 318175881.91 7690392263.81 5205722707.93 663372270.3 1889696221.23 220000000.00000003 1736688544.09 12.08 2359779916.09 2302094706.06 66635178.03 531972537.0 20.11 健康
7385083542.11 954483718.1 10.8551035 3028318011.29 2434497575.54 29648283.83 355184583.83 1028731.44 4257597355.22 2434497575.54 665322939.08 53197.25 549794731.23 21063990.53 304368149.54 7385083542.11 4950585966.57 663372270.3 1844153399.93 144000000.0 1699721790.91 8.52 2328635910.76 2122369176.49 55388163.52 531972537.0 16.22 健康
6669281675.71 853240532.87 10.8551035 1345884532.49 1904915722.8 13409626.04 355184583.83 864993.82 3729829044.35 1904915722.8 274936455.67 53197.25 224982222.71 5342670.02 305446427.04 6669281675.71 4764365952.91 663372270.3 1695374917.64 70050000.0 1577533609.86 4.76 1817791566.28 1999502429.76 55016756.81 531972537.0 11.9 健康
7054825259.13 435741939.01 4.68 1117942885.58 4672192678.57 8149055.64 72287004.18 4698016.09 3665712230.78 4672192678.57 63487560.72 115031.21 49531804.03 121256676.05 233749759.09 7054825259.13 2382632580.56 678842785.1 1822609191.4 20410000.0 628015032.62 1.59 3617086125.11 148848142.86 19900260.57 1150312097.0 4.19 危险
6671663611.86 340109056.6 10.8551035 523888213.04 4278123236.41 3857078.37 72287004.18 6021128.31 3322673389.36 4278123236.41 39078050.08 115031.21 32163716.09 56057015.0 238777514.71 6671663611.86 2393540375.45 678842785.1 1842344643.78 11230000.0 859491236.32 1.15 3339693021.53 184377032.51 17801400.11 1150312097.0 0.12 危险
6217121723.82 497833031.5 10.8551035 2537745848.41 3856510043.03 17917856.74 72287004.18 7874250.95 2820231187.22 3856510043.03 287676997.27 115031.21 215673500.62 209346593.83 244070411.07 6217121723.82 2360611680.79 678842785.1 1857514030.62 50140000.0 613308970.48 9.65 3013503670.63 160571183.2 13398024.23 1150312097.0 10.12 健康
6114176392.83 329146378.73 10.8551035 2383683684.67 3783144878.23 10876197.31 72287004.18 4021264.29 2907041504.26 3783144878.23 235825150.54 115031.21 185020864.83 163616240.62 243958014.41 6114176392.83 2331031514.6 678842785.1 1904801099.12 40050000.0 604943641.2 8.38 2747006320.29 134089329.14 19733565.73 1150312097.0 12.71 健康
6310224827.7 268052608.05 10.8551035 1236161092.91 4028927686.07 5702830.5 72287004.18 1683683.12 3061991070.33 4028927686.07 171857555.43 115031.21 131129825.19 108841633.62 249199452.89 6310224827.7 2281297141.63 678842785.1 1921782069.49 26720000.0 500985159.74 5.96 3052183016.07 85549521.37 17687941.42 1150312097.0 25.01 健康
5772710977.55 285702722.69 10.8551035 616780364.99 3578801926.09 2604976.07 72287004.18 2044491.29 2504852695.68 3578801926.09 60295294.79 115031.21 40012006.93 60476335.53 254574740.38 5772710977.55 2193909051.46 678842785.1 1803893261.55 14590000.0 661317265.17 1.88 2825059209.6 5924058.62 23459299.88 1150312097.0 2.91 危险
21190295094.65 8111997505.89 9.62 5693751984.07 10468002468.38 53613065.51 1255367054.12 92473798.35 14830619395.26 10468002468.38 410786841.32 363306.6 293421518.66 157249092.2 611168642.62 21190295094.65 10722292626.27 154402658.47 2689063855.96 31350000.0 1450208323.42 2.43 6067394142.67 3684889917.0 606678374.13 3633066000.0 7.53 可疑
